"Species","ScientificName","CommonName","AlternateTaxonName","SpeciesName","Life_Stage","Sex"
14022,"Hypsypops rubicundus","garibaldi, juvenile","Hypsypops rubicundus, juvenile","garibaldi, juvenile","Juvenile",
14023,"Girella nigricans","opaleye, adult","Girella nigricans, adult","opaleye, adult","Adult",
14024,"Girella nigricans","opaleye, juvenile","Girella nigricans, juvenile","opaleye, juvenile","Juvenile",
14025,"Lythrypnus dalli","blue-banded goby","Lythrypnus dalli","blue-banded goby",,
14026,"Coryphopterus nicholsi","blackeye goby","Coryphopterus nicholsi","blackeye goby",,
14027,"Alloclinus holderi","island kelpfish","Alloclinus holderi","island kelpfish",,
14028,"Halichoeres semicinctus","rock wrasse, male","Halichoeres semicinctus, male","rock wrasse, male","Adult","Male"
14029,"Halichoeres semicinctus","rock wrasse, female","Halichoeres semicinctus, female","rock wrasse, female","Adult","Female"
14030,"Oxylebius pictus","painted greenling","Oxylebius pictus","painted greenling",,
15001,"Bare Substrate","Bare Substrate","Bare Substrate","Bare",,
15002,"Rock","Rock","Rock","Rock",,
15003,"Cobble","Cobble","Cobble","Cobble",,
15004,"Sand","Sand","Sand","Sand",,
